ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['Stitched', 'Readymade', 'Women', 'Blouse', 'for', 'Saree', 'Black,blouse', 'generic']",612.jpeg,blouse generic,Stitched Readymade Women Blouse for Saree Black,stitched readymade woman blouse saree generic
"[""Women's"", 'Cotton', 'Silk', 'Saree', 'Blouse', '(Golden),blouse', 'monikafashion']",613.jpeg,blouse monikafashion,Women's Cotton Silk Saree Blouse (Golden),cotton silk saree blouse monikafashion
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Plain', '3/4', 'Sleeve', 'Saree', 'Blouse(Combo', 'of', '4)(FP3-12-8-45),blouse', 'jelite']",614.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade Plain 3/4 Sleeve Saree Blouse(Combo of 4)(FP3-12-8-45),premium cotton lycra stretchable readymade sleeve saree jelite
"[""Women's"", 'Phantom', 'Readymade', 'Blouse', '(Free', 'Size),blouse', 'stylish', 'bella']",615.jpeg,blouse stylish bella,Women's Phantom Readymade Blouse (Free Size),phantom readymade blouse stylish bella
"['Readymade', 'Padded', 'Blouse', 'for', 'Women', '&', ""Girl's"", '(Malticolour,', '28', 'to', '34', 'Size)', '(Pack', 'of', '2),blouse', 'lookstar']",616.jpeg,blouse lookstar,"Readymade Padded Blouse for Women & Girl's (Malticolour, 28 to 34 Size) (Pack of 2)",readymade padded blouse woman lookstar
"['Kanta', 'Creation', 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Red', 'Colour', 'Blouse', 'Round', 'Neck,blouse', 'generic']",617.jpeg,blouse generic,Kanta Creation Cotton Lycra Stretchable Readymade Red Colour Blouse Round Neck,kanta creation cotton lycra stretchable readymade blouse generic
"[""Women's"", 'Gold', 'Dupion', 'Silk', 'Readymade', 'Padded', 'Saree', 'Blouse(SSB2032_Gold_Size', ':', '32-42),blouse', 's', 'salwar', 'studio']",618.jpeg,blouse s salwar studio,Women's Gold Dupion Silk Readymade Padded Saree Blouse(SSB2032_Gold_Size : 32-42),gold dupion silk readymade padded saree s salwar studio
"[""Women's"", 'Phantom', 'Silk', 'Sequins', 'Work', 'Sleeveless', 'Saree', 'Readymade', 'Blouse', '(Leheriya', 'Blouse', 'Variation),blouse', 'sumairatex']",619.jpeg,blouse sumairatex,Women's Phantom Silk Sequins Work Sleeveless Saree Readymade Blouse (Leheriya Blouse Variation),phantom silk sequin work sleeveless saree readymade blouse blouse sumairatex
"['Dupion', 'Silk', 'Zari', 'Embroidery', 'Readymade', 'Blouse,blouse', 'intrigue']",620.jpeg,blouse intrigue,Dupion Silk Zari Embroidery Readymade Blouse,dupion silk zari embroidery readymade intrigue
"[""Women's"", 'Silk', 'Cap', 'Sleeve', 'Stitched', 'Non-Padded', 'Princess', 'Cut', 'Blouse,blouse', 'saptashri']",621.jpeg,blouse saptashri,Women's Silk Cap Sleeve Stitched Non-Padded Princess Cut Blouse,silk cap sleeve stitched non padded princess saptashri
